record_id,redcap_survey_identifier,vp_code,vl_name,color_vision,vorbereitende_fragen_complete,allgemeiner_fragebogen_timestamp,age,gender,edu,job,state,allgemeiner_fragebogen_complete,panas_timestamp,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,panas_complete,flexer_scale_timestamp,flexer_01,flexer_02,flexer_03,flexer_04,flexer_05,flexer_06,flexer_07,flexer_08,flexer_09,flexer_10,flexer_scale_complete,erq_timestamp,erq_01,erq_02,erq_03,erq_04,erq_05,erq_06,erq_07,erq_08,erq_09,erq_10,erq_complete,bfi2_timestamp,bfi2_01,bfi2_02,bfi2_03,bfi2_04,bfi2_05,bfi2_06,bfi2_07,bfi2_08,bfi2_09,bfi2_10,bfi2_11,bfi2_12,bfi2_13,bfi2_14,bfi2_15,bfi2_16,bfi2_17,bfi2_18,bfi2_19,bfi2_20,bfi2_21,bfi2_22,bfi2_23,bfi2_24,bfi2_25,bfi2_26,bfi2_27,bfi2_28,bfi2_29,bfi2_30,bfi2_31,bfi2_32,bfi2_33,bfi2_34,bfi2_35,bfi2_36,bfi2_37,bfi2_38,bfi2_39,bfi2_40,bfi2_41,bfi2_42,bfi2_43,bfi2_44,bfi2_45,bfi2_46,bfi2_47,bfi2_48,bfi2_49,bfi2_50,bfi2_51,bfi2_52,bfi2_53,bfi2_54,bfi2_55,bfi2_56,bfi2_57,bfi2_58,bfi2_59,bfi2_60,bfi2_complete,nfc_timestamp,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nfc_07,nfc_08,nfc_09,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_complete,who5_timestamp,who5_1,who5_2,who5_3,who5_4,who5_5,who5_complete,bis_11_timestamp,bis11_01,bis11_02,bis11_03,bis11_04,bis11_05,bis11_06,bis11_07,bis11_08,bis11_09,bis11_10,bis11_11,bis11_12,bis11_13,bis11_14,bis11_15,bis11_16,bis11_17,bis11_18,bis11_19,bis11_20,bis11_21,bis11_22,bis11_23,bis11_24,bis11_25,bis11_26,bis11_27,bis11_28,bis11_29,bis11_30,bis_11_complete,bscs_timestamp,bscs_1,bscs_2,bscs_3,bscs_4,bscs_5,bscs_6,bscs_7,bscs_8,bscs_9,bscs_10,bscs_11,bscs_12,bscs_13,bscs_complete,srs_timestamp,srs_01,srs_02,srs_03,srs_04,srs_05,srs_06,srs_07,srs_08,srs_09,srs_10,srs_complete,phq9_timestamp,phq_1,phq_2,phq_3,phq_4,phq_5,phq_6,phq_7,phq_8,phq_9,phq9_complete,follow_up_icersv_timestamp,nachb_001,nachb_001_inhalt,nachb_01,nachb_01_inhalt,nachb_02,nachb_02_inhalt,nachb_03,nachb_07,nachb_07_inhalt,nachb_08,nachb_08_inhalt,nachb_08_haeufig,nachb_08_zurueck,follow_up_icersv_complete,estroop_csv,er_csv,experimentor_notes,files_icersv_complete
A01R11,,A01R11,KC,1,2,"2024-11-11 09:00:28",23,2,3,Studentin,0,2,"2024-11-11 09:03:17",4,1,3,4,2,4,1,1,1,3,4,2,4,1,3,4,3,5,3,5,2,"2024-11-11 09:05:22",1,4,2,2,2,1,2,4,2,1,2,"2024-11-11 09:07:18",5,5,6,1,3,4,6,6,7,6,2,"2024-11-11 09:11:11",2,4,2,1,4,1,5,1,2,3,2,4,2,4,1,5,1,4,5,3,1,1,4,3,2,2,5,2,1,5,5,3,5,5,3,5,3,3,3,3,4,2,5,1,4,4,1,1,1,4,5,4,4,4,3,3,4,2,4,1,2,"2024-11-11 09:13:08"," -2"," -3"," +1"," -1"," -2"," -2"," -2"," +2"," -2"," +1",0,0," -2"," -3",0,0,2,"2024-11-11 09:13:43",4,1,3,1,4,2,"2024-11-11 09:15:49",2,1,1,1,1,3,4,2,3,2,1,3,3,2,2,2,2,1,1,2,1,2,3,1,4,4,4,3,3,4,2,"2024-11-11 09:16:42",3,1,4,1,2,4,2,4,3,2,5,4,2,2,"2024-11-11 09:17:39",3,1,1,2,3,3,2,2,2,3,2,"2024-11-11 09:18:17",0,0,0,1,0,0,1,0,0,2,"2024-11-11 10:11:31",1,"Viele negative Wörter ",0,,1,,"Fiel mir am leichtesten, die Emotionen nicht zu nah an mich heranzulassen  ",1,"Die negativen Begriffe in der farb-text Aufgabe blieben mir mehr im Gedächtnis als die neutralen und positiven durch die negativen Bilder die danach folgten ",0,,,,2,A01R11_2024-11-11_08h55.29.086.csv,A01R11_ER.csv,keine,2
A06A11,,A06A11,LL,,2,"2024-10-22 13:35:58",22,2,3,Studentin,0,2,"2024-10-22 13:37:42",4,2,4,3,2,3,1,1,1,3,3,2,4,2,4,3,4,4,2,2,2,"2024-10-22 13:40:10",2,4,3,2,2,1,2,2,1,2,2,"2024-10-22 13:42:05",6,3,6,1,5,5,1,3,3,5,2,"2024-10-22 13:47:34",4,4,2,2,2,3,5,2,2,4,3,1,4,2,2,4,1,4,3,5,3,1,3,4,2,1,3,1,3,3,3,4,4,4,4,5,1,5,2,3,3,1,4,3,2,5,1,2,3,4,4,4,5,1,3,2,4,1,2,2,2,"2024-10-22 13:51:01"," -1"," +1"," -1"," -2"," +1"," -1"," -1"," +2"," -2"," +1",0," -2"," -2"," -2"," +1"," +1",2,"2024-10-22 13:51:22",4,4,3,4,5,2,"2024-10-22 13:53:38",4,1,2,3,2,1,4,4,3,4,2,3,1,1,3,2,1,2,1,3,1,1,3,2,1,3,2,1,2,3,2,"2024-10-22 13:54:32",3,4,5,1,2,4,2,3,4,3,4,1,1,2,"2024-10-22 13:55:38",3,2,3,3,3,3,2,2,1,3,2,"2024-10-22 13:56:05",0,0,1,1,0,0,1,0,0,2,"2024-10-22 14:45:37",0,,0,,1,,"Weil ich die am einfachsten umsetzen konnte und sie mich am besten ablenken konnte",1,"Die Bilder im letzten Block waren die schlimmsten",0,,,,2,A06A11_2024-10-22_14h00.22.559.csv,A06A11_ER.csv,"keine Auffälligkeiten",2
A16S04,,A16S04,KC,1,2,"2024-11-22 10:09:45",21,2,3,Studentin,0,2,"2024-11-22 10:12:13",3,3,4,3,2,2,3,3,1,4,2,2,4,3,2,4,3,4,4,4,2,"2024-11-22 10:14:07",3,2,3,2,3,2,3,3,1,3,2,"2024-11-22 10:15:43",5,5,3,2,5,6,5,4,6,4,2,"2024-11-22 10:19:14",2,4,4,3,2,3,5,2,2,5,2,2,3,3,4,4,1,4,4,5,4,1,4,2,1,3,4,2,2,1,3,4,4,4,5,3,1,2,5,5,3,5,4,4,1,3,1,4,1,1,2,4,4,4,1,4,1,2,2,5,2,"2024-11-22 10:20:36"," +2"," +3"," +2"," -3"," +3"," -3"," -2"," -2"," -3"," -2"," -3"," -3"," +2"," +2"," -2"," -1",2,"2024-11-22 10:21:01",1,2,3,1,5,2,"2024-11-22 10:23:26",4,2,1,1,2,3,3,3,1,4,3,4,3,1,4,1,2,2,3,3,1,1,4,2,1,4,2,4,3,2,2,"2024-11-22 10:24:30",2,4,4,1,3,3,4,4,3,5,4,3,2,2,"2024-11-22 10:25:11",3,1,2,3,4,2,3,2,3,3,2,"2024-11-22 10:26:01",1,3,3,2,2,2,2,1,1,2,"2024-11-22 11:17:17",0,,0,,1,,"Fällt mir am leichtesten, fühlt sich sehr natürlich an, so mit belastenden Situationen umzugehen.",1,"Meine Antwortlatenz beim ersten Test könnte durch mein ADHS beeinflusst werden. Beim zweiten Test eine mögliche Beeinflussung durch eine dissoziative Störung.",0,,,,2,A16S04_2024-11-22_10h24.11.436.csv,A16S04_ER.csv,"VP gab an, dass aufgrund ihrer Erkrankungen mglw. verzögerte Reaktionen im Stroop-Experiment erfolgen könnten - Ausschluss aus diesem Teil?",2
A19N09,,A19N09,MS,1,2,"2024-11-04 13:15:00",20,2,3,"Studentin ",0,2,"2024-11-04 13:17:06",4,3,3,4,2,3,1,1,1,3,3,2,3,2,3,4,3,4,2,2,2,"2024-11-04 13:18:37",3,2,2,2,3,2,2,3,2,1,2,"2024-11-04 13:20:28",6,2,5,1,5,1,6,5,3,5,2,"2024-11-04 13:25:15",3,5,2,2,3,3,4,2,3,3,2,4,3,3,3,3,1,5,4,4,3,2,3,3,4,1,3,4,1,2,3,3,5,5,4,2,3,4,1,3,4,4,4,2,1,4,1,1,2,3,4,4,4,2,4,4,3,4,4,2,2,"2024-11-04 13:27:23"," -2",0," -1"," +1"," +1"," +2"," +2"," +2"," -2"," +1"," -1"," -2"," -1"," -1"," +2"," +2",2,"2024-11-04 13:27:56",4,4,4,2,3,2,"2024-11-04 13:30:06",2,2,3,2,2,1,3,3,3,4,3,2,2,2,2,1,2,3,3,2,1,2,3,2,1,3,4,3,4,2,2,"2024-11-04 13:31:07",3,4,4,2,4,3,3,4,3,2,4,4,2,2,"2024-11-04 13:32:09",3,3,2,2,3,2,4,3,2,3,2,"2024-11-04 13:33:02",1,0,1,2,0,1,0,0,0,2,"2024-11-04 14:21:23",0,,0,,1,,"Weil sie für mich am besten funktioniert hat.",0,,0,,,,2,A19N09_2024-11-04_13h02.18.786.csv,A19N09_ER.csv,"keine Auffälligkeiten",2
A23A07,,A23A07,MS,1,2,"2024-11-05 16:21:11",26,1,3,"Berufstätig ",0,2,"2024-11-05 16:24:04",4,2,4,3,2,2,1,1,1,3,4,2,3,1,3,3,2,3,2,2,2,"2024-11-05 16:26:34",3,2,3,2,2,2,2,4,3,2,2,"2024-11-05 16:28:53",5,2,5,2,6,5,6,6,4,5,2,"2024-11-05 16:34:37",3,4,2,2,3,3,5,4,3,4,5,3,4,3,2,4,2,4,3,4,2,1,4,3,3,3,4,2,3,3,4,3,5,4,4,3,2,1,2,3,3,2,4,4,4,3,2,1,2,3,3,4,3,2,4,3,3,4,2,3,2,"2024-11-05 16:37:19"," +1",0," -1"," -2"," +1",0," -2",0," -1",0," -1"," -2"," -2"," -3"," -2"," -2",2,"2024-11-05 16:37:51",4,4,3,3,4,2,"2024-11-05 16:40:53",3,2,2,2,2,3,2,3,2,2,2,3,3,2,2,1,2,2,2,2,1,2,3,2,2,3,2,1,2,3,2,"2024-11-05 16:42:12",2,4,4,2,4,2,4,3,3,3,4,4,3,2,"2024-11-05 16:43:43",3,3,2,3,3,2,3,3,2,3,2,"2024-11-05 16:45:29",1,1,1,1,1,1,1,1,0,2,"2024-11-05 17:36:21",1,"Wenn mehrmals die selbe Farbe kommt, dann ist es leichter schnell zu reagieren. Allerdings wenn zu oft, dann kann es passieren, dass man aus Gewohnheit falsch klickt",1,"Unterdrücken ist Quatsch ",1,,"Distanzieren fand ich am wirksamsten. Ablenken war die Strategie, die für mich am wenigsten Aufmerksamkeit erfordert.  Deshalb ablenken ",0,,0,,,,2,A23A07_2024-11-05_15h25.33.652.csv,A23A07_ER.csv,,2
A24T08,,A24T08,LL,1,2,"2024-11-15 10:28:26",20,2,3,Studentin,0,2,"2024-11-15 10:30:12",4,2,4,5,2,3,1,2,1,3,3,1,4,1,4,1,4,4,2,2,2,"2024-11-15 10:31:49",2,3,3,2,2,2,2,3,4,2,2,"2024-11-15 10:33:21",6,2,6,1,4,1,7,3,3,7,2,"2024-11-15 10:37:18",4,4,2,3,1,5,5,2,4,5,1,4,3,2,3,3,1,4,1,5,4,2,2,5,4,1,2,2,3,2,2,4,5,2,5,2,1,5,1,3,4,1,4,5,2,4,1,1,2,3,4,4,4,1,3,4,5,2,1,4,2,"2024-11-15 10:39:29"," +1"," +2"," -1"," -2"," +3"," -1"," -1"," +2",0," +2"," -2"," -2"," -3"," -2"," +1"," +1",2,"2024-11-15 10:39:50",4,4,4,4,5,2,"2024-11-15 10:42:28",4,2,3,2,1,1,4,3,3,2,1,1,3,2,2,1,1,2,2,1,1,2,2,3,1,2,4,1,4,3,2,"2024-11-15 10:43:20",4,2,4,2,2,4,1,2,5,3,4,2,4,2,"2024-11-15 10:44:14",3,3,3,3,2,3,3,3,1,3,2,"2024-11-15 10:44:42",0,0,1,0,0,0,0,0,0,2,"2024-11-15 11:31:39",1,"Blaue Wörter Waren eher neutral",0,,1,,"Es fiel mir schwer beim Ablenken und Distanzieren die Emotionen nicht zu fühlen. Beim Unterdrücken konnte ich die Emotionen noch fühlen, durfte sie nur nicht mehr zeigen. Das fiel mir leichter",0,,0,,,,2,A24T08_2024-11-15_10h03.36.043.csv,A24T08_ER.csv,"keine Vorkommnisse",2
B07K04,,B07K04,MS,,2,"2024-10-16 13:35:54",22,2,3,Studentin,0,2,"2024-10-16 13:38:29",2,3,2,1,2,1,1,1,2,2,2,2,2,1,2,3,2,2,4,4,2,"2024-10-16 13:40:53",3,4,3,3,3,3,3,4,3,2,2,"2024-10-16 13:42:43",5,3,4,2,2,4,5,4,4,5,2,"2024-10-16 13:47:18",2,4,3,1,1,4,4,2,3,4,3,3,3,2,4,5,1,2,4,4,3,2,5,1,2,2,3,4,2,3,5,4,4,5,5,3,2,1,4,1,3,4,5,4,2,2,2,1,1,2,1,4,2,4,4,3,4,1,3,3,2,"2024-10-16 13:49:24"," +1"," -2"," +1"," +1"," +2"," -2"," -1"," -3"," -2"," +1"," +1"," -2"," -1"," -2"," +2"," +1",2,"2024-10-16 13:49:50",1,0,1,0,1,2,"2024-10-16 13:52:26",3,2,2,1,2,3,2,3,2,3,2,2,2,1,1,2,1,2,3,2,3,3,4,3,1,3,1,1,1,2,2,"2024-10-16 13:53:35",3,4,4,1,4,3,5,3,2,4,3,4,4,2,"2024-10-16 13:54:51",2,2,1,3,3,1,3,2,3,3,2,"2024-10-16 13:55:47",3,2,1,1,2,2,1,0,0,2,"2024-10-16 14:53:13",0,,0,,1,,"Kommt mir am natürlichsten vor",0,,0,,,,2,B07K04_2024-10-16_14h09.04.840.csv,B07K04_ER.csv,"bei der Erklärung der ER Trainings-Aufgabe bekam VP wichtigen Anruf, kurze Unterbrechung um 5 min",2
B09A04,,B09A04,LL,1,2,"2024-11-27 15:30:48",20,2,3,Psychologiestudentin,0,2,"2024-11-27 15:32:26",3,2,2,2,2,1,1,1,2,4,3,2,2,1,2,1,4,4,5,3,2,"2024-11-27 15:34:04",2,3,2,3,1,3,2,2,2,2,2,"2024-11-27 15:35:43",5,2,6,1,5,2,5,5,2,5,2,"2024-11-27 15:39:14",4,4,3,2,2,3,4,3,2,1,2,2,2,4,3,2,1,3,4,4,2,3,5,2,4,1,4,3,3,2,3,4,5,4,4,4,3,2,3,1,3,2,4,1,2,5,1,2,2,2,4,4,3,3,4,3,4,3,4,3,2,"2024-11-27 15:41:03"," -2"," -3"," -2",0," +1"," +1"," +2"," +2",0," +1"," +1"," -2"," -1"," +1"," +1"," +1",2,"2024-11-27 15:41:35",2,1,3,1,4,2,"2024-11-27 15:43:37",3,3,3,2,2,2,4,2,1,1,1,2,2,2,2,1,3,3,2,2,1,1,3,3,1,3,3,1,1,2,2,"2024-11-27 15:44:41",2,4,4,3,4,2,4,1,2,4,3,4,4,2,"2024-11-27 15:45:36",3,2,2,3,3,2,3,3,2,2,2,"2024-11-27 15:46:31",2,1,0,2,1,1,1,0,0,2,"2024-11-27 16:31:37",0,,0,,1,,"Weil sie am besten vom Bild entfernt hat",0,,0,,,,2,B09A04_2024-11-27_15h25.12.575.csv,B09A04_ER.csv,"keine Vorkommnisse",2
B10J04,,B10J04,MS,,2,"2024-10-21 16:29:06",22,2,3,Student,0,2,"2024-10-21 16:31:21",4,3,4,5,2,3,1,1,1,2,3,3,5,2,3,2,3,3,3,2,2,"2024-10-21 16:33:43",3,4,4,3,3,2,3,4,4,2,2,"2024-10-21 16:36:25",6,5,6,2,6,3,5,5,3,6,2,"2024-10-21 16:42:04",2,4,1,3,2,3,4,2,3,4,4,4,2,4,4,5,2,4,3,4,3,2,2,3,4,3,5,2,3,2,5,4,4,3,5,4,2,5,2,3,3,4,4,4,2,2,2,1,2,3,4,4,4,2,3,3,2,2,3,3,2,"2024-10-21 16:44:32"," +1"," -1"," -1"," -2"," +2",0," +1"," +1"," +2",0," -1"," +1"," -2"," -1"," -2"," -2",2,"2024-10-21 16:45:23",4,4,2,3,3,2,"2024-10-21 16:47:44",4,1,3,2,1,4,4,3,3,3,2,3,3,2,2,1,2,2,2,3,2,1,2,2,2,3,3,2,2,3,2,"2024-10-21 16:48:56",4,2,5,1,2,5,2,5,4,2,4,3,2,2,"2024-10-21 16:50:20",3,3,3,3,3,3,2,3,2,3,2,"2024-10-21 16:51:19",1,0,1,1,2,0,0,0,0,2,"2024-10-21 17:50:35",1,"hat viel konzentration gefordert ",0,,1,,"Weil mir das Ablenken am einfachsten fiel. Ich konnte mich durch das Denken an etwas komplett anderes am Besten von den gezeigten Bildern distanzieren und habe diesen so gut wie keine Beachtung geschenkt.",0,,0,,,,2,B10J04_2024-10-21_15h55.09.594.csv,B10J04_ER.csv,"keine ",2
B11T10,,B11T10,MH,1,2,"2025-02-25 17:20:00",32,1,3,Student,0,2,"2025-02-25 17:22:19",5,3,4,4,3,3,3,1,1,5,5,2,5,2,3,3,4,3,2,1,2,"2025-02-25 17:24:54",2,4,3,3,2,1,2,4,4,1,2,"2025-02-25 17:27:07",7,2,5,1,6,1,7,5,4,5,2,"2025-02-25 17:35:18",5,4,4,4,1,3,4,3,5,5,2,2,4,2,4,4,2,2,2,5,3,2,5,4,2,1,4,3,4,2,2,3,3,2,3,3,2,2,1,4,4,2,4,4,1,5,1,3,3,1,3,4,3,2,2,5,4,4,1,4,2,"2025-02-25 17:38:52"," +2"," +1"," -3"," -2"," +1"," +1",0," -1"," -3"," -1"," -3"," -3"," +1"," -2"," -2"," -2",2,"2025-02-25 17:39:40",4,3,4,3,4,2,"2025-02-25 17:44:02",3,2,3,3,2,2,1,3,2,3,1,3,3,1,3,1,2,2,3,2,1,3,4,2,1,3,3,3,2,3,2,"2025-02-25 17:45:28",2,4,3,3,4,3,5,1,4,4,4,4,3,2,"2025-02-25 17:47:05",3,3,3,4,1,2,3,3,2,3,2,"2025-02-25 17:48:37",0,0,1,1,1,0,0,0,0,2,"2025-02-25 18:43:07",0,,0,,1,,"Ausversehen, ich wollte eigentlich distanzieren und habe ablenken gedrückt",0,,0,,,,2,B11T10_2025-02-25_17h50.49.087.csv,B11T10_ER.csv,"Person wollte am Ende eigentlich Distanzieren wählen, hat aber Ablenken gedrückt -> hat aber auch Ablenken durchgeführt",2
