Participant-ID;age;gender;ef1;ef2;ef3;ef4;ef5;ef6;ef7;ef8;ef9;ef10;ef11;ef12
1;22;weiblich;4;4;3;5;2;4;3;4;4;2;2;5
2;28;weiblich;4;5;3;5;2;4;5;5;3;2;3;4
3;19;weiblich;4;2;1;3;2;3;2;4;2;4;5;1
4;21;weiblich;4;2;3;4;3;4;4;4;4;2;4;4
5;20;weiblich;3;4;2;4;2;3;4;2;4;2;4;4
6;30;weiblich;4;5;3;5;4;5;5;5;4;1;3;5
7;23;weiblich;4;4;3;4;4;3;4;4;3;4;4;4
8;20;weiblich;3;4;3;4;2;4;3;4;4;2;3;4
9;18;weiblich;2;1;2;3;4;1;3;3;3;4;3;5
10;19;weiblich;4;4;4;4;3;4;3;4;4;3;4;5
11;32;weiblich;4;4;4;4;2;4;4;4;4;1;2;5
12;22;weiblich;4;5;4;5;4;5;5;5;5;5;5;5
13;20;weiblich;4;4;2;4;3;4;4;5;4;3;5;4
14;30;männlich;2;5;1;4;4;3;2;4;2;5;5;3
15;19;weiblich;4;4;3;4;4;4;5;5;4;1;2;4
16;39;weiblich;2;4;4;4;2;4;4;3;4;3;3;4
17;35;weiblich;4;4;3;1;2;4;4;4;1;2;3;4
18;32;weiblich;4;4;4;4;2;4;2;4;4;2;4;4
19;25;männlich;5;2;1;3;5;5;4;4;5;1;2;5
20;18;weiblich;4;4;2;4;3;5;5;4;4;4;2;5
21;28;männlich;5;4;2;4;4;5;3;5;5;2;2;5
22;27;weiblich;4;2;2;3;4;4;4;4;4;2;4;4
23;25;männlich;2;4;2;4;4;2;2;4;1;2;2;1
24;19;männlich;2;4;2;3;3;2;4;5;3;4;5;4
25;26;weiblich;3;2;2;2;1;4;2;3;2;2;3;3
26;18;weiblich;3;2;2;3;2;2;3;3;2;1;5;5
27;24;männlich;2;2;2;3;5;3;2;5;3;1;4;3
28;22;weiblich;1;4;2;2;3;2;4;4;2;2;3;4
29;24;männlich;4;5;3;4;4;4;4;5;4;5;5;5
30;23;weiblich;4;4;4;2;3;4;3;5;4;2;2;5
31;19;weiblich;4;3;1;4;4;4;4;5;4;1;4;5
32;25;weiblich;4;4;2;4;3;4;2;4;4;4;4;5
33;23;weiblich;4;4;2;4;2;4;4;4;4;4;4;4
34;22;männlich;2;1;2;2;3;3;3;4;4;3;3;3
35;20;weiblich;4;2;2;4;3;4;2;3;2;1;3;3
36;24;weiblich;4;4;2;5;5;4;4;5;5;5;4;4
37;26;weiblich;3;2;4;2;3;2;2;1;3;2;1;2
38;22;weiblich;4;4;2;4;1;5;4;4;4;3;3;4
39;25;männlich;2;4;2;4;4;4;4;4;5;1;2;4
40;24;männlich;2;2;3;2;2;2;4;2;2;4;2;2
41;35;männlich;3;3;2;2;4;4;4;4;4;3;2;4
42;18;weiblich;4;1;1;3;3;2;2;4;2;1;1;2
43;44;männlich;4;3;3;4;3;4;3;4;3;3;3;4
44;40;weiblich;4;3;4;4;2;4;4;4;3;2;4;5
45;22;männlich;2;2;2;4;2;2;3;2;4;2;4;4
46;20;weiblich;2;4;1;5;3;5;4;5;4;2;3;5
47;23;weiblich;1;1;1;2;5;1;1;1;1;5;1;2
48;19;weiblich;4;1;2;4;1;4;5;5;4;1;3;5
49;27;männlich;3;2;1;5;3;5;3;2;5;1;1;4
50;24;männlich;2;4;2;2;2;2;3;4;2;3;2;2
51;21;männlich;2;4;1;2;2;4;4;4;4;4;5;4
52;22;weiblich;4;2;3;4;2;4;4;5;3;1;3;5
53;18;weiblich;3;5;2;4;3;2;3;2;4;4;5;2
54;20;weiblich;2;2;1;3;4;2;2;2;2;2;4;3
55;24;männlich;2;2;2;2;3;3;4;1;2;2;2;2
56;23;weiblich;4;1;1;2;2;3;3;4;2;2;3;5
57;20;weiblich;4;4;2;4;2;3;2;4;2;4;5;4
58;21;weiblich;4;4;4;5;4;5;5;5;5;3;4;5
59;25;männlich;5;4;4;5;5;4;3;4;4;5;4;4
60;20;weiblich;3;4;4;3;1;3;2;3;1;5;4;4
61;21;weiblich;4;2;2;4;2;3;3;4;2;2;2;4
62;29;weiblich;5;5;3;5;5;5;5;5;5;5;5;5
63;23;weiblich;4;4;4;4;4;4;4;5;4;2;4;4
64;26;weiblich;4;4;1;5;2;2;2;5;4;3;2;2
65;24;weiblich;2;4;1;2;4;1;2;4;2;4;5;5
66;21;männlich;4;4;2;4;3;5;3;4;3;3;4;3
67;19;männlich;3;3;2;4;3;2;3;3;3;4;4;2
68;20;männlich;4;1;3;2;4;4;4;4;4;1;4;3
69;19;weiblich;4;5;3;4;2;4;5;4;3;4;5;4
70;23;männlich;2;4;3;2;3;2;3;3;2;2;2;2
71;24;weiblich;4;4;2;4;3;4;4;4;4;2;2;5
72;23;weiblich;2;1;1;4;1;4;4;4;4;3;5;5
73;38;weiblich;3;5;4;5;4;4;4;4;5;1;2;4
74;33;männlich;3;4;4;3;4;2;1;5;5;1;1;5
75;34;weiblich;3;2;2;4;2;3;4;4;4;1;2;4
76;22;männlich;2;2;2;2;1;4;3;4;4;4;2;5
77;27;männlich;4;5;2;4;3;2;2;4;3;1;2;4
78;24;weiblich;4;4;2;4;3;4;4;4;4;4;4;4
79;20;weiblich;4;2;2;4;2;2;4;4;4;1;2;4
80;18;männlich;3;4;1;4;5;4;4;5;5;2;4;5
81;20;weiblich;3;5;2;4;5;5;3;5;3;2;4;3
82;23;männlich;3;3;5;3;2;2;3;3;4;4;4;4
83;22;männlich;4;3;3;2;3;2;3;2;2;3;2;3
84;22;männlich;3;3;2;4;1;4;4;4;4;2;3;4
85;22;weiblich;4;4;4;4;4;4;4;3;4;4;4;4
86;21;männlich;4;4;3;5;3;5;4;4;4;2;4;5
87;40;weiblich;5;2;3;5;3;5;3;5;5;1;1;5
88;30;männlich;2;4;1;2;2;4;4;4;2;2;2;4
89;31;männlich;4;1;1;1;1;4;2;4;1;1;1;4
90;34;weiblich;2;2;2;3;2;4;3;4;4;1;2;4
91;20;weiblich;4;1;3;5;4;5;5;5;4;5;5;5
92;32;männlich;2;4;4;5;1;5;3;4;3;4;2;3
93;28;weiblich;4;4;2;4;1;2;2;4;4;2;4;5
94;28;männlich;3;2;3;2;3;2;2;2;2;2;3;2
95;24;weiblich;1;1;1;3;2;3;2;3;3;1;1;2
96;27;männlich;4;4;3;5;3;4;4;3;4;2;3;4
97;18;weiblich;3;4;3;3;2;4;4;3;3;5;5;3
98;24;weiblich;4;2;3;4;2;3;4;4;4;2;4;4
99;22;männlich;2;2;2;3;3;2;3;4;4;1;4;3
100;34;weiblich;4;4;2;4;4;4;4;4;4;4;4;4
101;21;weiblich;4;5;2;4;4;3;2;4;4;4;3;3
102;24;weiblich;4;2;3;3;4;4;2;5;4;2;1;3
103;19;weiblich;2;4;1;1;4;1;1;2;1;2;4;2
104;43;weiblich;2;4;2;2;5;1;2;2;1;4;2;2
105;36;weiblich;3;4;4;3;2;5;4;5;5;2;5;5
106;25;weiblich;3;3;4;2;2;2;2;1;2;5;5;2
